リーグ,年,クラブ,平均観客数,年間最高観客数,年間最低観客数,ゲーム数
J2,2005,湘南ベルマーレ,5746,14203,3521,22
J2,2005,徳島ヴォルティス,4366,8226,2205,22
J2,2005,ザスパ群馬,3959,7314,1344,22
J2,2005,水戸ホーリーホック,3334,8158,1371,22
J2,2004,ベガルタ仙台,16198,18751,12023,22
J2,2004,北海道コンサドーレ札幌,9466,19873,5061,22
J2,2004,川崎フロンターレ,9148,20043,4402,22
J2,2004,アビスパ福岡,8743,15444,5130,22
J2,2004,京都サンガF.C.,7808,10579,3124,22
J2,2004,モンテディオ山形,6420,20062,2964,22
J2,2004,ヴァンフォーレ甲府,6370,10121,2401,22
J2,2004,ＲＢ大宮アルディージャ,6108,12004,1901,22
J2,2004,湘南ベルマーレ,4691,9879,2711,22
J2,2004,横浜ＦＣ,4219,12180,2011,22
J2,2004,水戸ホーリーホック,3773,9155,1338,22
J2,2004,サガン鳥栖,3610,9565,2269,22
J2,2003,アルビレックス新潟,30339,42223,8644,22
J2,2003,北海道コンサドーレ札幌,10766,23590,3653,22
J2,2003,サンフレッチェ広島,9000,26158,3471,22
J2,2003,アビスパ福岡,7417,13921,3448,22
J2,2003,川崎フロンターレ,7258,22087,2438,22
J2,2003,ヴァンフォーレ甲府,5796,13043,2382,22
J2,2003,ＲＢ大宮アルディージャ,5058,20686,1357,22
J2,2003,湘南ベルマーレ,4731,8276,2772,22
J2,2003,モンテディオ山形,4370,10096,2743,22
J2,2003,横浜ＦＣ,3743,8574,1851,22
J2,2003,サガン鳥栖,3172,5756,1585,22
J2,2003,水戸ホーリーホック,3085,5889,1337,22
J2,2002,アルビレックス新潟,21478,42211,9125,22
J2,2002,大分トリニータ,12349,27431,3094,22
J2,2002,セレッソ大阪,7952,32067,3067,22
J2,2002,アビスパ福岡,6491,14475,3284,22
J2,2002,ＲＢ大宮アルディージャ,5266,19782,2517,22
J2,2002,川崎フロンターレ,5247,20405,3044,22
J2,2002,ヴァンフォーレ甲府,4914,13000,2954,22
J2,2002,湘南ベルマーレ,4551,9739,2120,22
J2,2002,サガン鳥栖,3890,8464,1796,22
J2,2002,モンテディオ山形,3755,8996,1908,22
J2,2002,横浜ＦＣ,3477,11118,1518,22
J2,2002,水戸ホーリーホック,2739,5576,1136,22
J2,2001,アルビレックス新潟,16659,42011,2373,22
J2,2001,ベガルタ仙台,14011,19412,8282,22
J2,2001,大分トリニータ,6638,29226,1847,22
J2,2001,モンテディオ山形,4391,17396,1803,22
J2,2001,湘南ベルマーレ,4112,6614,2884,22
J2,2001,ＲＢ大宮アルディージャ,3864,7038,1665,22
J2,2001,京都サンガF.C.,3808,12700,1705,22
J2,2001,川崎フロンターレ,3784,8126,1169,22
J2,2001,サガン鳥栖,3479,12810,1488,22
J2,2001,ヴァンフォーレ甲府,3130,5541,1508,22
J2,2001,横浜ＦＣ,3007,7174,1311,22
J2,2001,水戸ホーリーホック,1559,3472,754,22
J2,2000,浦和レッズ,16923,20207,13408,20
J2,2000,北海道コンサドーレ札幌,12910,19863,3162,20
J2,2000,ベガルタ仙台,8885,18706,5033,20
J2,2000,湘南ベルマーレ,4968,14868,2186,20
J2,2000,大分トリニータ,4818,14639,1863,20
J2,2000,アルビレックス新潟,4007,11662,1786,20
J2,2000,サガン鳥栖,3715,10177,1869,20
J2,2000,ＲＢ大宮アルディージャ,3477,9499,844,20
J2,2000,モンテディオ山形,3468,11671,1252,20
J2,2000,水戸ホーリーホック,2021,6155,721,20
J2,2000,ヴァンフォーレ甲府,1850,6005,724,20
J2,1999,北海道コンサドーレ札幌,10986,17427,4317,18
J2,1999,ベガルタ仙台,7470,16535,2568,18
J2,1999,川崎フロンターレ,5396,13812,2425,18
J2,1999,アルビレックス新潟,4211,9327,2045,18
J2,1999,大分トリニータ,3886,15702,1431,18
J2,1999,ＦＣ東京,3498,7325,1501,18
J2,1999,サガン鳥栖,3385,5797,1838,18
J2,1999,モンテディオ山形,2980,5836,1812,18
J2,1999,ＲＢ大宮アルディージャ,2674,5609,1296,18
J2,1999,ヴァンフォーレ甲府,1469,3807,619,18
J3,2022,松本山雅ＦＣ,8401,15912,5802,17
J3,2022,鹿児島ユナイテッドＦＣ,4740,7562,2280,17
J3,2022,ＦＣ岐阜,4194,7827,2517,17
J3,2022,ギラヴァンツ北九州,3613,7233,2480,17
J3,2022,ＡＣ長野パルセイロ,3308,13244,1968,17
J3,2022,愛媛ＦＣ,2938,9126,1249,17
J3,2022,カターレ富山,2872,5815,1291,17
J3,2022,ＦＣ今治,2320,3948,1205,17
J3,2022,いわきＦＣ,2174,4419,1004,17
J3,2022,ＳＣ相模原,1934,4386,581,17
J3,2022,カマタマーレ讃岐,1805,3283,1117,17
J3,2022,藤枝ＭＹＦＣ,1746,3375,919,17
J3,2022,ガイナーレ鳥取,1745,3017,646,17
J3,2022,アスルクラロ沼津,1684,4066,639,17
J3,2022,ヴァンラーレ八戸,1503,3198,458,17
J3,2022,福島ユナイテッドＦＣ,1465,4501,685,17
J3,2022,横浜スポーツ&カルチャークラブ,1293,2152,698,17
J3,2022,テゲバジャーロ宮崎,1268,2700,709,17
J3,2021,鹿児島ユナイテッドＦＣ,3738,4957,1838,14
J3,2021,ＦＣ岐阜,3505,5472,2184,14
J3,2021,ロアッソ熊本,3342,11314,1559,14
J3,2021,カターレ富山,2780,4131,1332,14
J3,2021,ＡＣ長野パルセイロ,2518,3336,1765,14
J3,2021,ＦＣ今治,1661,2236,1155,14
J3,2021,アスルクラロ沼津,1482,2743,759,14
J3,2021,カマタマーレ讃岐,1475,2441,835,14
J3,2021,いわてグルージャ盛岡,1394,2453,610,14
J3,2021,藤枝ＭＹＦＣ,1323,2323,559,14
J3,2021,ガイナーレ鳥取,1186,1861,739,14
J3,2021,横浜スポーツ&カルチャークラブ,1157,1917,477,14
J3,2021,ヴァンラーレ八戸,1137,2114,315,14
J3,2021,テゲバジャーロ宮崎,1124,2101,421,14
J3,2021,福島ユナイテッドＦＣ,877,1641,264,14
J3,2020,ＦＣ岐阜,2809,5222,1421,16
J3,2020,ＡＣ長野パルセイロ,2602,6297,1277,16
J3,2020,鹿児島ユナイテッドＦＣ,2352,3990,714,16
J3,2020,ロアッソ熊本,1819,3435,1061,16
J3,2020,ＦＣ今治,1440,2139,671,16
J3,2020,ブラウブリッツ秋田,1298,2226,717,16
J3,2020,カターレ富山,1293,2592,676,16
J3,2020,アスルクラロ沼津,983,1890,302,16
J3,2020,ＳＣ相模原,976,2664,341,16
J3,2020,カマタマーレ讃岐,923,1506,551,16
J3,2020,ガイナーレ鳥取,858,1451,573,16
J3,2020,藤枝ＭＹＦＣ,726,1271,441,16
J3,2020,ヴァンラーレ八戸,707,1066,302,16
J3,2020,横浜スポーツ&カルチャークラブ,662,1109,290,16
J3,2020,ガンバ大阪U-23,633,2526,329,16
J3,2020,福島ユナイテッドＦＣ,619,1369,157,16
J3,2020,セレッソ大阪U-23,594,1672,296,16
J3,2020,いわてグルージャ盛岡,512,1024,101,16
J3,2019,ギラヴァンツ北九州,6049,12270,3744,17
J3,2019,ロアッソ熊本,5533,16027,3085,17
J3,2019,ザスパ群馬,3594,5881,1875,17
J3,2019,ＡＣ長野パルセイロ,3000,4247,1434,17
J3,2019,ＳＣ相模原,2879,5504,1609,17
J3,2019,カターレ富山,2737,5254,1136,17
J3,2019,アスルクラロ沼津,2470,5315,932,17
J3,2019,ガイナーレ鳥取,2229,4011,946,17
J3,2019,カマタマーレ讃岐,2112,3339,1120,17
J3,2019,ヴァンラーレ八戸,1760,2797,907,17
J3,2019,藤枝ＭＹＦＣ,1740,3973,748,17
J3,2019,ブラウブリッツ秋田,1549,3393,736,17
J3,2019,いわてグルージャ盛岡,1368,3212,516,17
J3,2019,ＦＣ東京U-23,1276,2072,267,17
J3,2019,ガンバ大阪U-23,1263,2662,700,17
J3,2019,福島ユナイテッドＦＣ,1242,3406,436,17
J3,2019,セレッソ大阪U-23,1197,4755,647,17
J3,2019,横浜スポーツ&カルチャークラブ,1095,1610,337,17
J3,2018,ギラヴァンツ北九州,4501,12812,2320,16
J3,2018,鹿児島ユナイテッドＦＣ,4040,10916,1703,16
J3,2018,ＡＣ長野パルセイロ,3554,7082,2679,16
J3,2018,ＳＣ相模原,3458,12612,1602,16
J3,2018,ザスパ群馬,3346,4700,1604,16
J3,2018,ＦＣ琉球,3146,7810,886,16
J3,2018,アスルクラロ沼津,2857,5687,1271,16
J3,2018,カターレ富山,2670,4124,1602,16
J3,2018,ガイナーレ鳥取,2657,4817,1302,16
J3,2018,ブラウブリッツ秋田,2476,10607,675,16
J3,2018,ＦＣ東京U-23,1723,2563,934,16
J3,2018,福島ユナイテッドＦＣ,1576,3199,671,16
J3,2018,ガンバ大阪U-23,1382,3753,568,16
J3,2018,藤枝ＭＹＦＣ,1273,2592,508,16
J3,2018,いわてグルージャ盛岡,1216,3115,515,16
J3,2018,セレッソ大阪U-23,1112,4551,509,16
J3,2018,横浜スポーツ&カルチャークラブ,1005,1509,546,16
J3,2017,ギラヴァンツ北九州,5939,14935,3864,16
J3,2017,栃木ＳＣ,5147,11191,2758,16
J3,2017,ＡＣ長野パルセイロ,4256,8049,2652,16
J3,2017,ＳＣ相模原,3657,6122,1548,16
J3,2017,鹿児島ユナイテッドＦＣ,3508,5157,1854,16
J3,2017,カターレ富山,3159,6383,1917,16
J3,2017,アスルクラロ沼津,3029,8649,753,16
J3,2017,ＦＣ琉球,2508,6888,1032,16
J3,2017,ブラウブリッツ秋田,2069,3492,1156,16
J3,2017,ＦＣ東京U-23,1933,6338,864,16
J3,2017,ガイナーレ鳥取,1559,2435,573,16
J3,2017,福島ユナイテッドＦＣ,1485,3897,629,16
J3,2017,藤枝ＭＹＦＣ,1448,2577,722,16
J3,2017,いわてグルージャ盛岡,1337,3590,520,16
J3,2017,ガンバ大阪U-23,1226,2317,523,16
J3,2017,横浜スポーツ&カルチャークラブ,951,1264,559,16
J3,2017,セレッソ大阪U-23,909,1653,273,16
J3,2016,大分トリニータ,7771,11065,5408,15
J3,2016,ＡＣ長野パルセイロ,5018,10377,3794,15
J3,2016,栃木ＳＣ,4917,8586,2864,15
J3,2016,ＳＣ相模原,4344,7582,2536,15
J3,2016,鹿児島ユナイテッドＦＣ,3665,4975,2024,15
J3,2016,カターレ富山,3608,5081,2691,15
J3,2016,ＦＣ東京U-23,2797,7653,1375,15
J3,2016,ガンバ大阪U-23,2401,8038,1066,15
J3,2016,ブラウブリッツ秋田,2112,4791,1129,15
J3,2016,ガイナーレ鳥取,1898,3450,1321,15
J3,2016,福島ユナイテッドＦＣ,1678,3052,1045,15
J3,2016,ＦＣ琉球,1561,4565,948,15
J3,2016,藤枝ＭＹＦＣ,1531,2257,904,15
J3,2016,セレッソ大阪U-23,1488,4915,713,15
J3,2016,いわてグルージャ盛岡,1188,2888,486,15
J3,2016,横浜スポーツ&カルチャークラブ,1019,1614,568,15
J3,2015,ＡＣ長野パルセイロ,4733,8681,3159,20
J3,2015,レノファ山口ＦＣ,4367,8474,1697,20
J3,2015,ＦＣ町田ゼルビア,3766,7803,2005,20
J3,2015,ＳＣ相模原,3291,9040,1660,19
J3,2015,カターレ富山,2820,4542,1870,20
J3,2015,ガイナーレ鳥取,1932,4013,1096,20
J3,2015,ブラウブリッツ秋田,1713,2815,1021,19
J3,2015,ＦＣ琉球,1498,8993,538,19
J3,2015,福島ユナイテッドＦＣ,1289,3207,692,19
J3,2015,いわてグルージャ盛岡,1239,3025,635,20
J3,2015,藤枝ＭＹＦＣ,1103,1516,618,19
J3,2015,横浜スポーツ&カルチャークラブ,919,1723,461,19
J3,2014,ツエーゲン金沢,3440,8115,658,18
J3,2014,ＦＣ町田ゼルビア,3134,4569,2012,18
J3,2014,ＳＣ相模原,3133,7860,921,18
J3,2014,ガイナーレ鳥取,3069,5892,1832,18
J3,2014,いわてグルージャ盛岡,1522,3048,741,18
J3,2014,ブラウブリッツ秋田,1519,2187,842,18
J3,2014,ＦＣ琉球,1398,5163,520,18
J3,2014,福島ユナイテッドＦＣ,1321,4163,504,18
J3,2014,藤枝ＭＹＦＣ,1319,3302,612,18
J3,2014,横浜スポーツ&カルチャークラブ,1018,1819,512,18
